Class,mAP@50-95
Baton,0.7507270603601027
Pliers,0.8550000263410353
Hammer,0.803912248852184
Powerbank,0.7351332445204074
Scissors,0.7347103490309926
Wrench,0.8739754232708512
Gun,0.3262691928364002
Bullet,0.5742196660814541
Sprayer,0.5309769582242932
HandCuffs,0.8986202825752609
Knife,0.3519922025268889
Lighter,0.5550752105928833
